semana;sem_clicks;sem_inversion
28/05/2018;37990.53137;28530.88906
04/06/2018;48237.86606;36274.87528
11/06/2018;31886.21972;26338.01749
18/06/2018;48085.89361;37458.91112
25/06/2018;39747.69701;39270.72465
02/07/2018;31870.35714;30914.24643
09/07/2018;43367.52227;30530.73568
16/07/2018;45860.12959;32102.09071
23/07/2018;47370.36869;38133.1468
30/07/2018;77832.99757;74019.18069
06/08/2018;76885.47655;65045.11316
13/08/2018;0;0
20/08/2018;0;0
27/08/2018;82233.52452;69240.62765
03/09/2018;93587.0856;92370.45349
10/09/2018;90903.05147;91630.27588
17/09/2018;94015.68888;67973.34306
24/09/2018;96795.50383;97957.04988
01/10/2018;106126.9947;78852.35706
08/10/2018;109267.1523;116150.9829
15/10/2018;91340.17513;77182.44798
22/10/2018;97560.56537;84975.25244
29/10/2018;122740.6477;96719.63039
05/11/2018;118564.7178;110739.4464
12/11/2018;0;0
19/11/2018;0;0
26/11/2018;156564.3846;151397.7599
03/12/2018;114123.5145;114351.7615
10/12/2018;151823.0073;127227.6801
17/12/2018;114071.9284;109509.0513
24/12/2018;150402.9825;150102.1765
31/12/2018;104634.4757;88834.66987
07/01/2019;121001.5989;116040.5333
14/01/2019;111908.3588;97136.45544
21/01/2019;117177.8884;126200.5858
28/01/2019;118231.1025;90565.02452
04/02/2019;141999.145;140721.1527
11/02/2019;0;0
18/02/2019;0;0
25/02/2019;88530.39409;94107.80892
04/03/2019;74092.1597;55050.47466
11/03/2019;82059.78347;84275.39762
18/03/2019;55251.91752;46964.12989
25/03/2019;70906.04073;75798.55754
01/04/2019;73888.38653;61549.02598
08/04/2019;67424.7476;70324.01175
15/04/2019;65246.24575;51218.30291
22/04/2019;51481.45989;50606.27507
29/04/2019;55800.88355;50499.79961
06/05/2019;56108.46853;54817.97375
13/05/2019;0;0
20/05/2019;0;0
27/05/2019;40124.09528;30173.31965
03/06/2019;54839.69036;53797.73624
10/06/2019;30502.69153;25134.21782
17/06/2019;36154.65428;26465.20693
24/06/2019;48423.86191;46002.66881
